code,funding,fundpop,fundeq,fundpov,fundter,pop,popurb,cases,shp2,dep,mun,area,party,trfpop,dens,infpop,quintile,grp,agr
0502,1707726.55,895108.290909064,182919.8454961832,433834.05509021,195864.3569629163,47784,42.4,324,250,Usulután,Jiquilisco,429.99,GANA,35.73845952620124,0.111128165771297,6.7805123053741845,5,2,3
0503,979681.04,548799.928934569,182919.8454961832,181019.6457721144,66941.6207757626,17787,55,105,244,Usulután,Berlín,146.96,GANA,55.07848653510992,0.12103293413173652,5.903187721369539,4,2,3
0504,828321.0900000001,528592.891809138,182919.8454961832,99631.1032771718,17177.24303860921,18201,78.8,344,263,Usulután,Santiago de María,37.71,GANA,45.50964727212791,0.4826571201272872,18.900060436239766,4,1,1
0505,787266.2,475797.805159182,182919.8454961832,112100.113754981,16448.43432575387,18442,56.8,234,251,Usulután,Jucuapa,36.11,FMLN,42.688764776054654,0.5107172528385489,12.688428586921157,4,3,2
0506,788334.49,452472.582244349,182919.8454961832,127925.50078700649,25016.55631875942,17342,29.9,186,261,Usulután,Santa Elena,54.92,ARENA,45.45810690808442,0.315768390386016,10.725406527505479,4,3,2
0507,779518.1499999999,342266.270766011,182919.8454961832,145151.065557529,109180.9713026847,13424,8.5,23,252,Usulután,Jucuarán,239.69,FMLN,58.06899210369487,0.056005673995577626,1.7133492252681763,4,2,3
0508,388392.43,118239.5401405746,182919.8454961832,40115.187923524994,47117.8577860975,6518,47.9,21,257,Usulután,San Agustín,103.44,FMLN,59.58766953053084,0.06301237432327919,3.2218471923903036,2,2,3
0509,670714,349603.161446955,182919.8454961832,115315.3196730114,22875.67134974687,12443,40.9,53,255,Usulután,Ozatlán,50.22,ARENA,53.90291730290123,0.24776981282357627,4.259422968737442,3,2,3
0510,620595.23,312293.68731756497,182919.8454961832,92708.0277923808,32673.664920695803,9015,43,25,249,Usulután,Estanzuelas,71.73,ARENA,68.84029173599556,0.12567963195315768,2.7731558513588466,3,2,3
0511,771932.01,407442.369815059,182919.8454961832,153592.4221702788,27977.3723397342,13092,23.7,94,253,Usulután,Mercedes Umaña,61.42,FMLN,58.96211503208066,0.2131553239986975,7.1799572257867394,4,2,3
0512,715089.7,373111.80587881105,182919.8454961832,140650.9281346229,18407.124616552588,11712,13.2,70,243,Usulután,Alegría,40.41,FMLN,61.05615607923497,0.28982925018559763,5.976775956284152,4,2,3
0513,732094.72,359446.832860554,182919.8454961832,135499.6734917571,54228.362353392404,12197,26.4,63,246,Usulután,Concepción Batres,119.05,ARENA,60.02252357137001,0.1024527509449811,5.165204558497991,4,2,3
0514,452354.67,185766.1697411096,182919.8454961832,63024.9811674111,20643.6740416274,5409,18.5,23,260,Usulután,San Francisco Javier,45.32,FMLN,83.63,0.11935127978817299,4.252172305416898,2,2,3
0515,851564.3200000001,461368.57581999304,182919.8454961832,130440.6278357883,76835.2788027738,16584,57.9,87,256,Usulután,Puerto El Triunfo,168.68,FMLN,51.34854799807043,0.09831633862935736,5.246020260492041,4,2,3
0516,554165.13,269257.34915666,182919.8454961832,79932.1952175552,22055.75029778462,7697,46.2,59,264,Usulután,Tecapán,48.42,FMLN,71.99754839547876,0.15896323833126805,7.665324152267116,3,2,3
0517,568951.85,234305.1834127215,182919.8454961832,99366.0449398431,52360.774401700604,4945,25.9,17,259,Usulután,San Dionisio,114.95,ARENA,115.05598584428715,0.04301870378425402,3.4378159757330637,3,4,4
0518,507072.73,240113.5614518018,182919.8454961832,71280.5162284468,12758.809591923731,6119,31.4,38,248,Usulután,Ereguayquín,28.01,FMLN,82.8685618565125,0.21845769368082826,6.2101650596502695,2,2,3
0519,531053.83,273197.532855686,182919.8454961832,69515.8932761228,5420.5591768615595,10731,76.4,107,262,Usulután,Santa María,11.9,ARENA,49.487823129251694,0.9017647058823529,9.971111732364179,3,3,2
0520,570242.22,250745.2616052059,182919.8454961832,95704.27986653091,40872.835440318304,7451,17.6,57,254,Usulután,Nueva Granada,89.73,ARENA,76.53230707287612,0.08303800289758163,7.64997986847403,3,2,3
0521,452024.5,200100.2894048046,182919.8454961832,50916.095169668,18088.26642967838,6924,44.4,68,247,Usulután,Villa El Triunfo,39.71,ARENA,65.28372328134027,0.17436414001510955,9.820912767186597,2,2,3
0522,376813.45,139706.755466298,182919.8454961832,41473.5819023344,12713.258422370269,4726,19.9,74,258,Usulután,San Buenaventura,27.91,FMLN,79.73200380871774,0.16932998925116444,15.658061785865426,1,5,5
0523,295355.33,78124.37058412,182919.8454961832,23192.13451625797,11118.97748799923,2628,62.6,38,245,Usulután,California,24.41,FMLN,112.38787290715374,0.10766079475624744,14.45966514459665,1,5,5
