"CODIGO";"NOMBRE"
"370105";"Enderezado y pintura de vehículos automotores"
"370106";"Reparaciones de radiadores, escapes y silenciadores"
"370107";"Reparación y reconstrucción de vías, stop y otros artículos de fibra de vidrio"
"370108";"Reparación de llantas de vehículos automotores"
"370109";"Polarizado de vehículos (mediante la adhesión de papel especial a los vidrios)"
"370110";"Lavado y pasteado de vehículos (carwash)"
"370111";"Reparaciones de vehículos n.c.p."
"370112";"Remolque de vehículos automotores"
"370113";"Venta de partes, piezas y accesorios nuevos para vehículos automotores"
"370114";"Venta de partes, piezas y accesorios usados para vehículos automotores "
"370115";"Venta de motocicletas"
"370116";"Venta de repuestos, piezas y accesorios de motocicletas"
"370117";"Mantenimiento y reparación  de motocicletas"
"370118";"Venta de partes, piezas y accesorios de vehículos automotores y motocicletas"
"3702";"COMERCIO AL POR MAYOR, EXCEPTO EL COMERCIO DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS"
"370201";"Venta al por mayor a cambio de retribución o por contrata"
"370202";"Venta al por mayor de materias primas agrícolas"
"370203";"Venta al por mayor de productos de la silvicultura"
"370204";"Venta al por mayor de productos pecuarios y de granja"
"370205";"Venta de productos para uso agropecuario"
"370206";"Venta al por mayor de granos básicos (cereales, leguminosas)"
"370207";"Venta  al por mayor de semillas mejoradas para cultivo"
"370208";"Venta al por mayor de café oro y uva"
"370209";"Venta  al por mayor de caña de azúcar"
"370210";"Venta al por mayor de flores, plantas y otros productos naturales"
"370211";"Venta al por mayor de productos agrícolas"
"370212";"Venta  al por mayor de ganado bovino (vivo)"
"370213";"Venta al por mayor de animales porcinos, ovinos, caprino, canículas, apícolas, avícolas vivos"
"370214";"Venta de otras especies vivas del reino animal"
"370215";"Venta al por mayor de alimentos"
"370216";"Venta al por mayor de bebidas"
"370217";"Venta al por mayor de tabaco"
"370218";"Venta al por mayor de frutas, hortalizas (verduras), legumbres y tubérculos"
"370219";"Venta al por mayor de pollos, gallinas destazadas, pavos y otras aves"
"370220";"Venta al por mayor de carne bovina y porcina, productos de carne y embutidos"
"370221";"Venta  al por mayor de huevos"
"370222";"Venta al por mayor de productos lácteos"
"370223";"Venta al por mayor de productos farináceos de panadería (pan dulce, cakes, resposteria, etc.)"
"370224";"Venta al por mayor de pastas alimenticas, aceites y grasas comestibles vegetal y animal"
"370225";"Venta al por mayor de sal comestible"
"370226";"Venta al por mayor de azúcar"
"370227";"Venta de granos básicos y azúcar"
"370228";"Venta de productos farináceos y de panadería"
"370229";"Venta de otros productos alimenticios no clasificados previamente; no incluye bebidas"
"370230";"Venta de huevos"
"370231";"Venta de carnes y productos cárnicos"
"370232";"Venta de productos lácteos"
